model,domain,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
gpt-4.1-mini,numbers,5,5,1,5.333333333333334,0.2,0.12,14.0,0.9333333333333333,1.0,20.0,80.0,0.3833333333333333,0.0,0.0,0.0,0.22916666666666666
gpt-4.1-mini,two_numbers,5,5,2,8.0,0.4,0.13333333333333336,14.2,0.9466666666666667,0.8,40.0,60.0,0.4,0.0,0.0,0.0,0.0
gpt-4.1-mini,string,5,5,4,37.333333333333336,0.8,0.37333333333333335,11.0,0.7333333333333333,4.0,80.0,20.0,0.8,0.0,0.0,0.0,0.0
gpt-4.1-mini,list,5,5,3,20.0,0.6,0.2,13.2,0.8800000000000001,1.8,60.0,40.0,0.6,0.0,0.0,0.0,0.0
gpt-4.1-mini,logic,5,5,5,74.66666666666666,1.0,0.7466666666666667,6.0,0.4,9.0,3.6,0.0,1.0,0.2,0.0,0.2,
gpt-4.1-nano,numbers,5,5,2,30.666666666666664,0.4,0.5066666666666666,9.8,0.6533333333333333,5.2,40.0,60.0,0.7833333333333333,0.8,0.0,0.8,0.6388888888888888
gpt-4.1-nano,two_numbers,5,5,3,37.33333333333333,0.6,0.64,8.4,0.5599999999999999,6.6,60.0,40.0,0.7733333333333332,1.0,0.0,1.0,0.43333333333333335
gpt-4.1-nano,string,5,5,3,49.333333333333336,0.6,0.8,5.2,0.3466666666666667,9.8,60.0,40.0,0.9333333333333333,0.2,0.0,0.2,0.8333333333333333
gpt-4.1-nano,list,5,5,1,14.666666666666666,0.2,0.7733333333333333,5.4,0.36,9.6,20.0,80.0,0.9099999999999999,0.0,0.0,0.0,0.8875
gpt-4.1-nano,logic,5,5,1,16.0,0.2,0.8133333333333332,4.8,0.31999999999999995,10.2,0.8,2.8,0.6,0.0,0.0,0.0,0.5
gpt-5-nano,numbers,5,5,2,40.0,0.4,1.0266666666666666,1.6,0.10666666666666666,13.4,40.0,60.0,0.6,0.0,0.0,0.0,0.3333333333333333
gpt-5-nano,two_numbers,5,5,2,38.666666666666664,0.4,1.0,2.2,0.14666666666666667,12.8,40.0,60.0,0.7,0.2,0.0,0.2,0.5
gpt-5-nano,string,5,5,2,40.0,0.4,1.04,1.4,0.09333333333333334,13.6,40.0,60.0,0.6,0.0,0.0,0.0,0.3333333333333333
gpt-5-nano,list,5,5,1,20.0,0.2,1.04,1.4,0.09333333333333334,13.6,20.0,80.0,0.6,0.0,0.0,0.0,0.5
gpt-5-nano,logic,5,5,3,60.0,0.6,1.0,2.0,0.13333333333333333,13.0,2.0,1.6,0.9,0.0,0.0,0.0,0.75
