model,failure_reason,episodes,share
Qwen3.6-35B-A3B-FP8,correct_guess,3,0.024
Qwen3.6-35B-A3B-FP8,protocol_or_format_error,22,0.176
Qwen3.6-35B-A3B-FP8-without-reasoning,correct_guess,7,0.056
Qwen3.6-35B-A3B-FP8-without-reasoning,protocol_or_format_error,18,0.144
gpt-4.1-2025-04-14,correct_guess,23,0.184
gpt-4.1-2025-04-14,wrong_function_guess,2,0.016
gpt-4.1-mini,correct_guess,14,0.112
gpt-4.1-mini,wrong_function_guess,11,0.088
gpt-4.1-nano,correct_guess,12,0.096
gpt-4.1-nano,protocol_or_format_error,6,0.048
gpt-4.1-nano,wrong_function_guess,7,0.056
