model,domain,guess_outcome,episodes,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_quality_score
gpt-4.1-mini,numbers,right,1,13.0,0.8666666666666667,2.0,26.666666666666668
gpt-4.1-mini,numbers,wrong,4,14.25,0.95,0.75,0.0
gpt-4.1-mini,two_numbers,right,2,14.0,0.9333333333333333,1.0,20.0
gpt-4.1-mini,two_numbers,wrong,3,14.333333333333334,0.9555555555555556,0.6666666666666666,0.0
gpt-4.1-mini,string,right,4,10.0,0.6666666666666666,5.0,46.66666666666667
gpt-4.1-mini,string,wrong,1,15.0,1.0,0.0,0.0
gpt-4.1-mini,list,right,3,12.0,0.7999999999999999,3.0,33.333333333333336
gpt-4.1-mini,list,wrong,2,15.0,1.0,0.0,0.0
gpt-4.1-mini,logic,right,5,6.0,0.4,9.0,74.66666666666666
gpt-4.1-nano,numbers,right,2,6.5,0.43333333333333335,8.5,76.66666666666666
gpt-4.1-nano,numbers,wrong,3,12.0,0.7999999999999999,3.0,0.0
gpt-4.1-nano,two_numbers,right,3,8.333333333333334,0.5555555555555555,6.666666666666667,62.22222222222222
gpt-4.1-nano,two_numbers,wrong,2,8.5,0.5666666666666667,6.5,0.0
gpt-4.1-nano,string,right,3,4.666666666666667,0.3111111111111111,10.333333333333334,82.22222222222223
gpt-4.1-nano,string,wrong,2,6.0,0.4,9.0,0.0
gpt-4.1-nano,list,right,1,6.0,0.4,9.0,73.33333333333333
gpt-4.1-nano,list,wrong,4,5.25,0.35,9.75,0.0
gpt-4.1-nano,logic,right,1,5.0,0.3333333333333333,10.0,80.0
gpt-4.1-nano,logic,wrong,4,4.75,0.31666666666666665,10.25,0.0
gpt-5-nano,numbers,right,2,2.0,0.13333333333333333,13.0,100.0
gpt-5-nano,numbers,wrong,3,1.3333333333333333,0.08888888888888889,13.666666666666666,0.0
gpt-5-nano,two_numbers,right,2,3.0,0.2,12.0,96.66666666666666
gpt-5-nano,two_numbers,wrong,3,1.6666666666666667,0.1111111111111111,13.333333333333334,0.0
gpt-5-nano,string,right,2,1.5,0.1,13.5,100.0
gpt-5-nano,string,wrong,3,1.3333333333333333,0.08888888888888889,13.666666666666666,0.0
gpt-5-nano,list,right,1,1.0,0.06666666666666667,14.0,100.0
gpt-5-nano,list,wrong,4,1.5,0.1,13.5,0.0
gpt-5-nano,logic,right,3,2.0,0.13333333333333333,13.0,100.0
gpt-5-nano,logic,wrong,2,2.0,0.13333333333333333,13.0,0.0
