model,mode,domain,experiment,callable,game_id,quality_score,binary_accuracy,efficiency_raw,guess_turn,budget_used_ratio,remaining_turn_budget,tolerance_used,n_test_cases,passed_test_cases,failed_test_cases
gpt-4.1-mini,active_inputs,numbers,numbers_active_inputs,absolute_value,0,0.0,0,0.3333333333333333,12,0.8,3,1,100,0,100
gpt-4.1-mini,active_inputs,numbers,numbers_active_inputs,add_one,6,26.666666666666668,1,0.26666666666666666,13,0.8666666666666667,2,1,100,100,0
gpt-4.1-mini,active_inputs,numbers,numbers_active_inputs,clamp_to_0_9,12,0.0,0,0.0,15,1.0,0,0,100,0,100
gpt-4.1-mini,active_inputs,numbers,numbers_active_inputs,is_even,18,0.0,0,0.0,15,1.0,0,0,100,0,100
gpt-4.1-mini,active_inputs,numbers,numbers_active_inputs,sign_label,24,0.0,0,0.0,15,1.0,0,0,100,0,100
gpt-4.1-mini,active_inputs,two_numbers,two_numbers_active_inputs,min_value,30,0.0,0,0.0,15,1.0,0,0,100,0,100
gpt-4.1-mini,active_inputs,two_numbers,two_numbers_active_inputs,max_value,36,20.0,1,0.2,14,0.9333333333333333,1,1,100,100,0
gpt-4.1-mini,active_inputs,two_numbers,two_numbers_active_inputs,sum_two,42,20.0,1,0.2,14,0.9333333333333333,1,1,100,100,0
gpt-4.1-mini,active_inputs,two_numbers,two_numbers_active_inputs,abs_diff,48,0.0,0,0.26666666666666666,13,0.8666666666666667,2,1,100,0,100
gpt-4.1-mini,active_inputs,two_numbers,two_numbers_active_inputs,first_minus_second,54,0.0,0,0.0,15,1.0,0,0,100,0,100
gpt-4.1-mini,active_inputs,string,string_active_inputs,reverse_str,60,46.666666666666664,1,0.4666666666666667,10,0.6666666666666666,5,1,100,100,0
gpt-4.1-mini,active_inputs,string,string_active_inputs,first_char,66,53.333333333333336,1,0.5333333333333333,9,0.6,6,1,100,100,0
gpt-4.1-mini,active_inputs,string,string_active_inputs,add_exclamation,72,26.666666666666668,1,0.26666666666666666,13,0.8666666666666667,2,1,100,100,0
gpt-4.1-mini,active_inputs,string,string_active_inputs,uppercase_str,78,60.0,1,0.6,8,0.5333333333333333,7,1,100,100,0
gpt-4.1-mini,active_inputs,string,string_active_inputs,remove_space,84,0.0,0,0.0,15,1.0,0,0,100,0,100
gpt-4.1-mini,active_inputs,list,list_active_inputs,list_len,90,26.666666666666668,1,0.26666666666666666,13,0.8666666666666667,2,1,100,100,0
gpt-4.1-mini,active_inputs,list,list_active_inputs,ret_first_item,96,0.0,0,0.0,15,1.0,0,0,100,0,100
gpt-4.1-mini,active_inputs,list,list_active_inputs,sum_list,102,40.0,1,0.4,11,0.7333333333333333,4,1,100,100,0
gpt-4.1-mini,active_inputs,list,list_active_inputs,count_zeros,108,0.0,0,0.0,15,1.0,0,0,100,0,100
gpt-4.1-mini,active_inputs,list,list_active_inputs,rmv_duplicates,114,33.33333333333333,1,0.3333333333333333,12,0.8,3,1,100,100,0
gpt-4.1-mini,active_inputs,logic,logic_active_inputs,logic_and,120,80.0,1,0.8,5,0.3333333333333333,10,1,4,4,0
gpt-4.1-mini,active_inputs,logic,logic_active_inputs,logic_or,126,53.333333333333336,1,0.5333333333333333,9,0.6,6,1,4,4,0
gpt-4.1-mini,active_inputs,logic,logic_active_inputs,logic_xor,132,80.0,1,0.8,5,0.3333333333333333,10,1,4,4,0
gpt-4.1-mini,active_inputs,logic,logic_active_inputs,not_value,138,93.33333333333333,1,0.9333333333333333,3,0.2,12,1,2,2,0
gpt-4.1-mini,active_inputs,logic,logic_active_inputs,implies,144,66.66666666666666,1,0.6666666666666666,8,0.5333333333333333,7,1,4,4,0
