model,domain,guess_outcome,episodes,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_quality_score
Qwen3.6-35B-A3B-FP8,numbers,wrong,5,1.0,0.06666666666666667,14.0,0.0
Qwen3.6-35B-A3B-FP8,two_numbers,wrong,5,1.0,0.06666666666666667,14.0,0.0
Qwen3.6-35B-A3B-FP8,string,wrong,5,1.0,0.06666666666666667,14.0,0.0
Qwen3.6-35B-A3B-FP8,list,wrong,5,1.0,0.06666666666666667,14.0,0.0
Qwen3.6-35B-A3B-FP8,logic,wrong,5,1.0,0.06666666666666667,14.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,numbers,wrong,5,1.0,0.06666666666666667,14.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,two_numbers,wrong,5,1.0,0.06666666666666667,14.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,string,wrong,5,1.0,0.06666666666666667,14.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,list,wrong,5,1.0,0.06666666666666667,14.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,logic,wrong,5,1.0,0.06666666666666667,14.0,0.0
gpt-4.1-2025-04-14,numbers,right,2,11.5,0.7666666666666666,3.5,36.666666666666664
gpt-4.1-2025-04-14,numbers,wrong,3,12.0,0.8000000000000002,3.0,0.0
gpt-4.1-2025-04-14,two_numbers,right,3,11.333333333333334,0.7555555555555555,3.6666666666666665,37.77777777777778
gpt-4.1-2025-04-14,two_numbers,wrong,2,13.0,0.8666666666666667,2.0,0.0
gpt-4.1-2025-04-14,string,right,3,11.0,0.7333333333333334,4.0,40.0
gpt-4.1-2025-04-14,string,wrong,2,12.0,0.8,3.0,0.0
gpt-4.1-2025-04-14,list,right,3,11.0,0.7333333333333334,4.0,40.0
gpt-4.1-2025-04-14,list,wrong,2,12.5,0.8333333333333334,2.5,0.0
gpt-4.1-2025-04-14,logic,right,2,6.5,0.43333333333333335,8.5,70.0
gpt-4.1-2025-04-14,logic,wrong,3,8.333333333333334,0.5555555555555555,6.666666666666667,0.0
gpt-4.1-mini,numbers,right,1,12.0,0.8,3.0,33.33333333333333
gpt-4.1-mini,numbers,wrong,4,14.5,0.9666666666666667,0.5,0.0
gpt-4.1-mini,two_numbers,wrong,5,13.2,0.8800000000000001,1.8,0.0
gpt-4.1-mini,string,wrong,5,12.6,0.8400000000000001,2.4,0.0
gpt-4.1-mini,list,wrong,5,14.6,0.9733333333333334,0.4,0.0
gpt-4.1-mini,logic,wrong,5,8.6,0.5733333333333333,6.4,0.0
gpt-4.1-nano,numbers,wrong,5,1.0,0.06666666666666667,14.0,0.0
gpt-4.1-nano,two_numbers,wrong,5,1.0,0.06666666666666667,14.0,0.0
gpt-4.1-nano,string,wrong,5,1.0,0.06666666666666667,14.0,0.0
gpt-4.1-nano,list,wrong,5,1.0,0.06666666666666667,14.0,0.0
gpt-4.1-nano,logic,wrong,5,1.0,0.06666666666666667,14.0,0.0
