model,domain,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
gpt-4.1-mini,numbers,5,5,2,14.666666666666666,0.4,0.17333333333333334,13.6,0.9066666666666666,1.4,40.0,60.0,0.6,0.0,0.0,0.0,0.3333333333333333
gpt-4.1-mini,two_numbers,5,5,2,14.666666666666666,0.4,0.14666666666666667,13.6,0.9066666666666666,1.4,40.0,60.0,0.4,0.0,0.0,0.0,0.0
gpt-4.1-mini,string,5,5,2,17.333333333333332,0.4,0.17333333333333334,13.2,0.8800000000000001,1.8,40.0,60.0,0.4,0.0,0.0,0.0,0.0
gpt-4.1-mini,list,5,5,3,17.333333333333332,0.6,0.24,13.0,0.8666666666666668,2.0,60.0,40.0,0.6666666666666667,0.0,0.0,0.0,0.16666666666666666
gpt-4.1-mini,logic,5,5,2,20.0,0.4,0.48,10.0,0.6666666666666666,5.0,1.6,2.0,0.6599999999999999,0.2,0.0,0.2,0.43333333333333335
gpt-4.1-nano,numbers,5,5,0,0.0,0.0,0.7066666666666667,11.0,0.7333333333333334,4.0,0.0,100.0,0.4333333333333333,4.6,0.0,4.6,0.4333333333333333
gpt-4.1-nano,two_numbers,5,5,2,34.666666666666664,0.4,0.8666666666666668,8.0,0.5333333333333333,7.0,40.0,60.0,0.75,4.0,0.0,4.0,0.5833333333333334
gpt-4.1-nano,string,5,5,0,0.0,0.0,0.5599999999999999,11.0,0.7333333333333333,4.0,0.0,100.0,0.0,7.6,0.0,7.6,0.0
gpt-4.1-nano,list,5,5,0,0.0,0.0,0.8800000000000001,7.0,0.4666666666666666,8.0,0.0,100.0,0.0,3.2,0.0,3.2,0.0
gpt-4.1-nano,logic,5,5,1,16.0,0.2,0.8400000000000001,7.4,0.49333333333333335,7.6,0.8,2.8,0.6,3.0,0.0,3.0,0.5
gpt-5-nano,numbers,5,5,0,0.0,0.0,1.0133333333333332,2.0,0.13333333333333333,13.0,0.0,100.0,0.4,0.2,0.0,0.2,0.4
gpt-5-nano,two_numbers,5,5,0,0.0,0.0,1.0266666666666666,1.6,0.10666666666666666,13.4,0.0,100.0,0.4,0.0,0.0,0.0,0.4
gpt-5-nano,string,5,5,1,20.0,0.2,1.0133333333333332,1.8,0.12,13.2,20.0,80.0,0.4,0.0,0.0,0.0,0.25
gpt-5-nano,list,5,5,0,0.0,0.0,1.0133333333333332,1.8,0.12,13.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,logic,5,5,0,0.0,0.0,0.8800000000000001,4.0,0.26666666666666666,11.0,0.0,3.6,0.52,0.2,0.0,0.2,0.52
