model,domain,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
gpt-4.1-mini,numbers,5,5,4,29.333333333333332,0.8,0.29333333333333333,12.2,0.8133333333333332,2.8,80.0,20.0,0.8,0.0,0.0,0.0,0.0
gpt-4.1-mini,two_numbers,5,5,3,22.666666666666664,0.6,0.37333333333333335,11.4,0.76,3.6,60.0,40.0,0.8424242424242424,0.0,0.0,0.0,0.606060606060606
gpt-4.1-mini,string,5,5,4,36.0,0.8,0.4133333333333333,10.8,0.72,4.2,80.0,20.0,1.0,0.0,0.0,0.0,1.0
gpt-4.1-mini,list,5,5,2,12.0,0.4,0.27999999999999997,12.8,0.8533333333333333,2.2,40.0,60.0,0.9866666666666667,0.0,0.0,0.0,0.9777777777777779
gpt-4.1-mini,logic,5,5,5,81.33333333333334,1.0,0.8133333333333332,4.8,0.32,10.2,3.6,0.0,1.0,0.0,0.0,0.0,
gpt-4.1-nano,numbers,5,5,3,33.33333333333333,0.6,0.5733333333333334,9.2,0.6133333333333333,5.8,60.0,40.0,0.8825396825396826,0.8,0.0,0.8,0.7063492063492063
gpt-4.1-nano,two_numbers,5,5,4,57.33333333333333,0.8,0.72,7.4,0.49333333333333335,7.6,80.0,20.0,1.0,1.2,0.0,1.2,1.0
gpt-4.1-nano,string,5,5,3,36.0,0.6,0.36,11.2,0.7466666666666667,3.8,60.0,40.0,0.6,0.6,0.0,0.6,0.0
gpt-4.1-nano,list,5,5,3,38.666666666666664,0.6,0.6933333333333334,7.6,0.5066666666666666,7.4,60.0,40.0,0.96,1.0,0.0,1.0,0.9
gpt-4.1-nano,logic,5,5,3,44.0,0.6,0.7866666666666667,5.4,0.36,9.6,2.0,1.6,0.85,0.2,0.0,0.2,0.625
gpt-5-nano,numbers,5,5,2,40.0,0.4,1.0,2.0,0.13333333333333333,13.0,40.0,60.0,0.8,0.0,0.0,0.0,0.6666666666666666
gpt-5-nano,two_numbers,5,5,2,40.0,0.4,1.0133333333333332,1.8,0.12,13.2,40.0,60.0,0.8,0.0,0.0,0.0,0.6666666666666666
gpt-5-nano,string,5,5,3,60.0,0.6,1.0533333333333332,1.2,0.08,13.8,60.0,40.0,0.9,0.0,0.0,0.0,0.75
gpt-5-nano,list,5,5,1,20.0,0.2,1.0533333333333332,1.2,0.07999999999999999,13.8,20.0,80.0,0.6,0.0,0.0,0.0,0.5
gpt-5-nano,logic,5,5,3,60.0,0.6,1.04,1.4,0.09333333333333334,13.6,2.0,1.6,1.0,0.0,0.0,0.0,1.0
