model,domain,guess_outcome,episodes,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_quality_score
gpt-4.1-mini,numbers,right,4,11.5,0.7666666666666666,3.5,36.666666666666664
gpt-4.1-mini,numbers,wrong,1,15.0,1.0,0.0,0.0
gpt-4.1-mini,two_numbers,right,3,11.333333333333334,0.7555555555555555,3.6666666666666665,37.77777777777778
gpt-4.1-mini,two_numbers,wrong,2,11.5,0.7666666666666666,3.5,0.0
gpt-4.1-mini,string,right,4,10.25,0.6833333333333333,4.75,45.0
gpt-4.1-mini,string,wrong,1,13.0,0.8666666666666667,2.0,0.0
gpt-4.1-mini,list,right,2,12.5,0.8333333333333333,2.5,30.0
gpt-4.1-mini,list,wrong,3,13.0,0.8666666666666667,2.0,0.0
gpt-4.1-mini,logic,right,5,4.8,0.32,10.2,81.33333333333334
gpt-4.1-nano,numbers,right,3,9.666666666666666,0.6444444444444445,5.333333333333333,55.55555555555555
gpt-4.1-nano,numbers,wrong,2,8.5,0.5666666666666667,6.5,0.0
gpt-4.1-nano,two_numbers,right,4,7.5,0.5,7.5,71.66666666666666
gpt-4.1-nano,two_numbers,wrong,1,7.0,0.4666666666666667,8.0,0.0
gpt-4.1-nano,string,right,3,8.666666666666666,0.5777777777777778,6.333333333333333,60.0
gpt-4.1-nano,string,wrong,2,15.0,1.0,0.0,0.0
gpt-4.1-nano,list,right,3,8.333333333333334,0.5555555555555556,6.666666666666667,64.44444444444444
gpt-4.1-nano,list,wrong,2,6.5,0.43333333333333335,8.5,0.0
gpt-4.1-nano,logic,right,3,6.333333333333333,0.4222222222222222,8.666666666666666,73.33333333333333
gpt-4.1-nano,logic,wrong,2,4.0,0.26666666666666666,11.0,0.0
gpt-5-nano,numbers,right,2,2.0,0.13333333333333333,13.0,100.0
gpt-5-nano,numbers,wrong,3,2.0,0.13333333333333333,13.0,0.0
gpt-5-nano,two_numbers,right,2,2.0,0.13333333333333333,13.0,100.0
gpt-5-nano,two_numbers,wrong,3,1.6666666666666667,0.1111111111111111,13.333333333333334,0.0
gpt-5-nano,string,right,3,1.0,0.06666666666666667,14.0,100.0
gpt-5-nano,string,wrong,2,1.5,0.1,13.5,0.0
gpt-5-nano,list,right,1,1.0,0.06666666666666667,14.0,100.0
gpt-5-nano,list,wrong,4,1.25,0.08333333333333333,13.75,0.0
gpt-5-nano,logic,right,3,1.0,0.06666666666666667,14.0,100.0
gpt-5-nano,logic,wrong,2,2.0,0.13333333333333333,13.0,0.0
