model,domain,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
Qwen3.6-35B-A3B-FP8,numbers,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,1.0,0.0,1.0,0.0
Qwen3.6-35B-A3B-FP8,two_numbers,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,1.0,0.0,1.0,0.0
Qwen3.6-35B-A3B-FP8,string,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,1.0,0.0,1.0,0.0
Qwen3.6-35B-A3B-FP8,list,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,1.0,0.0,1.0,0.0
Qwen3.6-35B-A3B-FP8,logic,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.6,0.0,1.0,0.0,1.0,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,numbers,5,5,3,60.0,0.6,0.8,1.0,1.0,0.0,60.0,40.0,0.8,0.2,0.0,0.2,0.5
Qwen3.6-35B-A3B-FP8-without-reasoning,two_numbers,5,5,1,20.0,0.2,0.8,1.0,1.0,0.0,20.0,80.0,0.8,0.2,0.0,0.2,0.75
Qwen3.6-35B-A3B-FP8-without-reasoning,string,5,5,5,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
Qwen3.6-35B-A3B-FP8-without-reasoning,list,5,5,1,20.0,0.2,0.4,1.0,1.0,0.0,20.0,80.0,0.4,0.6,0.0,0.6,0.25
Qwen3.6-35B-A3B-FP8-without-reasoning,logic,5,5,4,80.0,0.8,1.0,1.0,1.0,0.0,2.8,0.8,1.0,0.0,0.0,0.0,1.0
gpt-4.1-2025-04-14,numbers,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1-2025-04-14,two_numbers,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1-2025-04-14,string,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1-2025-04-14,list,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1-2025-04-14,logic,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0
gpt-4.1-mini,numbers,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1-mini,two_numbers,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1-mini,string,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1-mini,list,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.2,0.0,0.2,0.0
gpt-4.1-mini,logic,5,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0
gpt-4.1-nano,numbers,5,5,3,60.0,0.6,1.0,1.0,1.0,0.0,60.0,40.0,1.0,0.0,0.0,0.0,1.0
gpt-4.1-nano,two_numbers,5,5,2,40.0,0.4,1.0,1.0,1.0,0.0,40.0,60.0,1.0,0.0,0.0,0.0,1.0
gpt-4.1-nano,string,5,5,5,100.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,
gpt-4.1-nano,list,5,5,2,40.0,0.4,1.0,1.0,1.0,0.0,40.0,60.0,1.0,0.0,0.0,0.0,1.0
gpt-4.1-nano,logic,5,5,5,100.0,1.0,1.0,1.0,1.0,0.0,3.6,0.0,1.0,0.0,0.0,0.0,
