model,domain,episodes,played_episodes,correct_guesses,avg_quality_score,avg_binary_accuracy,avg_efficiency,avg_guess_turn,avg_budget_used_ratio,avg_remaining_turn_budget,avg_passed_test_cases,avg_failed_test_cases,avg_internal_consistency_score,avg_violated_request_count,avg_runtime_error_count,avg_parse_error_count,avg_internal_consistency_score_on_failed
Qwen3.6-35B-A3B-FP8,numbers,5,5,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,12.2,0.0,12.2,0.0
Qwen3.6-35B-A3B-FP8,two_numbers,5,5,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,12.4,0.0,12.4,0.0
Qwen3.6-35B-A3B-FP8,string,5,5,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,12.8,0.0,12.8,0.0
Qwen3.6-35B-A3B-FP8,list,5,5,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,12.4,0.0,12.4,0.0
Qwen3.6-35B-A3B-FP8,logic,5,5,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,3.6,0.0,12.6,0.0,12.6,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,numbers,5,5,0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,100.0,0.0,1.8,0.0,1.8,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,two_numbers,5,5,1,5.333333333333334,0.2,0.05333333333333333,15.0,1.0,0.0,20.0,80.0,0.2,1.4,0.0,1.4,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,string,5,5,2,18.666666666666664,0.4,0.24,13.6,0.9066666666666666,1.4,40.0,60.0,0.6,1.4,0.0,1.4,0.3333333333333333
Qwen3.6-35B-A3B-FP8-without-reasoning,list,5,5,1,12.0,0.2,0.12,13.8,0.9199999999999999,1.2,20.0,80.0,0.2,2.4,0.0,2.4,0.0
Qwen3.6-35B-A3B-FP8-without-reasoning,logic,5,5,1,16.0,0.2,0.5333333333333333,10.4,0.6933333333333334,4.6,0.8,2.8,0.5523809523809524,2.0,0.0,2.0,0.44047619047619047
gpt-4.1-2025-04-14,numbers,5,5,2,10.666666666666668,0.4,0.29333333333333333,12.6,0.8400000000000001,2.4,40.0,60.0,0.9,0.0,0.0,0.0,0.8333333333333334
gpt-4.1-2025-04-14,two_numbers,5,5,3,17.333333333333336,0.6,0.26666666666666666,13.0,0.8666666666666668,2.0,60.0,40.0,0.8571428571428571,0.0,0.0,0.0,0.6428571428571428
gpt-4.1-2025-04-14,string,5,5,2,12.0,0.4,0.2533333333333333,13.2,0.8800000000000001,1.8,40.0,60.0,0.75,0.0,0.0,0.0,0.5833333333333334
gpt-4.1-2025-04-14,list,5,5,2,10.666666666666668,0.4,0.29333333333333333,12.6,0.8400000000000001,2.4,40.0,60.0,0.819047619047619,0.0,0.0,0.0,0.6984126984126983
gpt-4.1-2025-04-14,logic,5,5,1,9.333333333333332,0.2,0.4,11.0,0.7333333333333333,4.0,0.4,3.2,0.9,0.0,0.0,0.0,0.875
gpt-4.1-mini,numbers,5,5,2,14.666666666666666,0.4,0.38666666666666666,11.4,0.76,3.6,40.0,60.0,0.9,0.2,0.0,0.2,0.8333333333333334
gpt-4.1-mini,two_numbers,5,5,3,20.0,0.6,0.29333333333333333,13.0,0.8666666666666668,2.0,60.0,40.0,0.7428571428571429,0.4,0.0,0.4,0.35714285714285715
gpt-4.1-mini,string,5,5,5,29.333333333333332,1.0,0.29333333333333333,12.8,0.8533333333333333,2.2,100.0,0.0,1.0,0.2,0.0,0.2,
gpt-4.1-mini,list,5,5,1,8.0,0.2,0.3466666666666667,12.0,0.8,3.0,20.0,80.0,0.5761904761904761,0.2,0.0,0.2,0.47023809523809523
gpt-4.1-mini,logic,5,5,2,21.333333333333336,0.4,0.5866666666666667,8.4,0.5599999999999999,6.6,1.2,2.4,0.8800000000000001,0.2,0.0,0.2,0.7999999999999999
gpt-4.1-nano,numbers,5,5,0,0.0,0.0,0.5066666666666666,9.4,0.6266666666666667,5.6,0.0,100.0,0.42666666666666664,0.0,0.0,0.0,0.42666666666666664
gpt-4.1-nano,two_numbers,5,5,2,13.333333333333334,0.4,0.32,12.4,0.8266666666666665,2.6,40.0,60.0,0.5733333333333334,1.0,0.0,1.0,0.2888888888888889
gpt-4.1-nano,string,5,5,1,8.0,0.2,0.16,13.4,0.8933333333333333,1.6,20.0,80.0,0.3,0.0,0.0,0.0,0.125
gpt-4.1-nano,list,5,5,0,0.0,0.0,0.5333333333333333,9.0,0.6,6.0,0.0,100.0,0.32666666666666666,0.4,0.0,0.4,0.32666666666666666
gpt-4.1-nano,logic,5,5,2,33.333333333333336,0.4,0.8,5.0,0.3333333333333333,10.0,1.6,2.0,0.6333333333333333,0.0,0.0,0.0,0.38888888888888884
