model,mode,domain,experiment,callable,game_id,quality_score,binary_accuracy,efficiency_raw,guess_turn,budget_used_ratio,remaining_turn_budget,tolerance_used,n_test_cases,passed_test_cases,failed_test_cases
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,absolute_value,3,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,add_one,9,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,clamp_to_0_9,15,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,is_even,21,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,sign_label,27,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,two_numbers,two_numbers_passive_labeled_pairs,min_value,33,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,two_numbers,two_numbers_passive_labeled_pairs,max_value,39,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,two_numbers,two_numbers_passive_labeled_pairs,sum_two,45,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,two_numbers,two_numbers_passive_labeled_pairs,abs_diff,51,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,two_numbers,two_numbers_passive_labeled_pairs,first_minus_second,57,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,string,string_passive_labeled_pairs,reverse_str,63,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,string,string_passive_labeled_pairs,first_char,69,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,string,string_passive_labeled_pairs,add_exclamation,75,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,string,string_passive_labeled_pairs,uppercase_str,81,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,string,string_passive_labeled_pairs,remove_space,87,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,list,list_passive_labeled_pairs,list_len,93,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,list,list_passive_labeled_pairs,ret_first_item,99,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,list,list_passive_labeled_pairs,sum_list,105,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,list,list_passive_labeled_pairs,count_zeros,111,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,list,list_passive_labeled_pairs,rmv_duplicates,117,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,logic,logic_passive_labeled_pairs,logic_and,123,0.0,0,0.0,15,1.0,0,0,4,0,4
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,logic,logic_passive_labeled_pairs,logic_or,129,0.0,0,0.0,15,1.0,0,0,4,0,4
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,logic,logic_passive_labeled_pairs,logic_xor,135,0.0,0,0.0,15,1.0,0,0,4,0,4
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,logic,logic_passive_labeled_pairs,not_value,141,0.0,0,0.0,15,1.0,0,0,2,0,2
Qwen3.6-35B-A3B-FP8,passive_labeled_pairs,logic,logic_passive_labeled_pairs,implies,147,0.0,0,0.0,15,1.0,0,0,4,0,4
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,absolute_value,3,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,add_one,9,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,clamp_to_0_9,15,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,is_even,21,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,numbers,numbers_passive_labeled_pairs,sign_label,27,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,two_numbers,two_numbers_passive_labeled_pairs,min_value,33,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,two_numbers,two_numbers_passive_labeled_pairs,max_value,39,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,two_numbers,two_numbers_passive_labeled_pairs,sum_two,45,26.666666666666668,1,0.26666666666666666,15,1.0,0,1,100,100,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,two_numbers,two_numbers_passive_labeled_pairs,abs_diff,51,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,two_numbers,two_numbers_passive_labeled_pairs,first_minus_second,57,0.0,0,0.0,15,1.0,0,0,100,0,100
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,string,string_passive_labeled_pairs,reverse_str,63,60.0,1,0.6,9,0.6,6,1,100,100,0
Qwen3.6-35B-A3B-FP8-without-reasoning,passive_labeled_pairs,string,string_passive_labeled_pairs,first_char,69,0.0,0,0.26666666666666666,15,1.0,0,1,100,0,100
